Suburb,Rooms,Type,Price,Method,Postcode,Propertycount,Distance,CouncilArea
Balwyn,4,h,1810000,S,3103,5682,7.9,Boroondara City Council
Balwyn North,4,h,1850000,PI,3104,7809,9.7,Boroondara City Council
Balwyn North,3,h,,SP,3104,7809,9.7,Boroondara City Council
Balwyn North,4,h,2600000,VB,3104,7809,9.7,Boroondara City Council
Balwyn North,3,h,1220000,VB,3104,7809,9.7,Boroondara City Council
Balwyn North,4,h,2470000,PI,3104,7809,9.7,Boroondara City Council
Balwyn North,4,h,,SP,3104,7809,9.7,Boroondara City Council
Balwyn North,2,u,800000,PI,3104,7809,9.7,Boroondara City Council
Bayswater North,4,h,880000,S,3153,3598,23.2,Maroondah City Council
Beaumaris,4,h,1285000,SP,3193,5366,17.3,Bayside City Council
Beaumaris,2,u,835000,S,3193,5366,17.3,Bayside City Council
Beaumaris,4,h,1445000,S,3193,5366,17.3,Bayside City Council
Beaumaris,2,t,,VB,3193,5366,17.3,Bayside City Council
Beaumaris,4,h,1435000,S,3193,5366,17.3,Bayside City Council
Bellfield,3,u,675000,SP,3081,790,8.8,Banyule City Council
Bentleigh,4,t,1300000,VB,3204,6795,11.4,Glen Eira City Council
Bentleigh,4,t,1500000,PI,3204,6795,11.4,Glen Eira City Council
Bentleigh,3,h,1340000,S,3204,6795,11.4,Glen Eira City Council
Bentleigh,2,h,,S,3204,6795,11.4,Glen Eira City Council
Bentleigh East,3,h,1400000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,u,,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,t,775000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,3,t,920000,SP,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,h,1220000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,2,h,1130000,S,3165,10969,13.8,Glen Eira City Council
Bentleigh East,4,h,1460000,S,3165,10969,13.8,Glen Eira City Council
Black Rock,3,t,,S,3193,2866,17.3,Bayside City Council
Black Rock,4,h,3000000,S,3193,2866,17.3,Bayside City Council
Blackburn,4,h,1200000,PI,3130,5713,13.4,Whitehorse City Council
Blackburn,4,h,1410000,S,3130,5713,13.4,Whitehorse City Council
Blackburn,3,h,1110000,S,3130,5713,13.4,Whitehorse City Council
Blackburn North,4,h,960000,PI,3130,2867,13.4,Whitehorse City Council
Blackburn North,5,h,1090000,S,3130,2867,13.4,Whitehorse City Council
Blackburn South,3,h,980000,PI,3130,4387,13.4,Whitehorse City Council
Blackburn South,3,t,,SN,3130,4387,13.4,Whitehorse City Council
Blackburn South,4,h,1925000,PI,3130,4387,13.4,Whitehorse City Council
Blackburn South,3,u,710000,S,3130,4387,13.4,Whitehorse City Council
Bonbeach,4,h,985000,S,3196,2887,27,Kingston City Council
Boronia,4,h,,PN,3155,9704,25,Knox City Council
Box Hill,2,u,420000,SP,3128,4605,10.9,Whitehorse City Council
Braybrook,3,h,500500,S,3019,3589,8.6,Maribyrnong City Council
Braybrook,2,h,490000,S,3019,3589,8.6,Maribyrnong City Council
Braybrook,2,t,500000,SP,3019,3589,8.6,Maribyrnong City Council
Brighton,3,t,,S,3186,10579,10.5,Bayside City Council
Brighton,4,h,,SN,3186,10579,10.5,Bayside City Council
Brighton,3,h,,SP,3186,10579,10.5,Bayside City Council
Brighton,4,h,2250000,VB,3186,10579,10.5,Bayside City Council
Brighton,4,h,,S,3186,10579,10.5,Bayside City Council
Brighton East,2,u,,SP,3187,6938,10.3,Bayside City Council
Brighton East,4,h,,SN,3187,6938,10.3,Bayside City Council
Brighton East,4,h,,S,3187,6938,10.3,Bayside City Council
Brighton East,3,h,1958000,S,3187,6938,10.3,Bayside City Council
Brighton East,4,h,2137000,S,3187,6938,10.3,Bayside City Council
Brighton East,4,h,,SP,3187,6938,10.3,Bayside City Council
Brighton East,4,h,2975000,S,3187,6938,10.3,Bayside City Council
Broadmeadows,4,h,,PI,3047,4294,14,Hume City Council
Broadmeadows,3,h,457000,S,3047,4294,14,Hume City Council
Brunswick,3,h,,SP,3056,11918,5.2,Moreland City Council
Brunswick,2,h,740000,PI,3056,11918,5.2,Moreland City Council
Brunswick,3,h,,S,3056,11918,5.2,Moreland City Council
Brunswick,3,h,900000,SP,3056,11918,5.2,Moreland City Council
Brunswick,4,h,1250000,PI,3056,11918,5.2,Moreland City Council
Brunswick,4,h,,S,3056,11918,5.2,Moreland City Council
Brunswick,2,h,1225000,SP,3056,11918,5.2,Moreland City Council
Brunswick,3,h,1120000,S,3056,11918,5.2,Moreland City Council
Brunswick,2,t,560000,S,3056,11918,5.2,Moreland City Council
Brunswick,3,h,1685000,S,3056,11918,5.2,Moreland City Council
Brunswick,2,u,625000,S,3056,11918,5.2,Moreland City Council
Brunswick East,3,h,1470000,S,3057,5533,4,Moreland City Council
Brunswick East,2,h,860000,S,3057,5533,4,Moreland City Council
Brunswick West,3,t,900000,S,3055,7082,5.2,Moreland City Council
Brunswick West,2,u,398000,S,3055,7082,5.2,Moreland City Council
Brunswick West,2,h,576000,S,3055,7082,5.2,Moreland City Council
Brunswick West,4,h,1400000,VB,3055,7082,5.2,Moreland City Council
Brunswick West,5,h,,S,3055,7082,5.2,Moreland City Council
Brunswick West,3,h,850000,PI,3055,7082,5.2,Moreland City Council
Bulleen,4,h,1150000,SP,3105,4480,10.8,Manningham City Council
Bundoora,2,t,525000,S,3083,10175,12.1,Banyule City Council
Bundoora,4,h,740000,S,3083,10175,12.1,Banyule City Council
Bundoora,2,u,340000,PI,3083,10175,12.1,Banyule City Council
Burwood,5,h,1265000,S,3125,5678,10.4,Monash City Council
Burwood,3,h,1000000,PI,3125,5678,10.4,Monash City Council
Burwood East,4,t,1460000,S,3151,4048,14.7,Whitehorse City Council
Burwood East,4,t,1200000,SP,3151,4048,14.7,Whitehorse City Council
Burwood East,4,h,935000,S,3151,4048,14.7,Whitehorse City Council
Burwood East,3,u,780000,S,3151,4048,14.7,Whitehorse City Council
Camberwell,2,u,868000,SA,3124,8920,7.7,Boroondara City Council
Camberwell,3,t,1375000,S,3124,8920,7.7,Boroondara City Council
Camberwell,2,h,1235000,S,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1510000,PI,3124,8920,7.7,Boroondara City Council
Camberwell,3,h,1520000,S,3124,8920,7.7,Boroondara City Council
Camberwell,2,u,835000,S,3124,8920,7.7,Boroondara City Council
Camberwell,2,u,495000,PI,3124,8920,7.7,Boroondara City Council
Camberwell,6,h,,S,3124,8920,7.7,Boroondara City Council
Camberwell,4,h,2100500,S,3124,8920,7.7,Boroondara City Council
Canterbury,5,h,3300000,VB,3126,3265,8.4,Boroondara City Council
Carlton,2,u,,SP,3053,6786,1.6,Melbourne City Council
Carlton North,2,h,1470000,S,3054,3106,3.5,Melbourne City Council
Carlton North,3,h,2410000,S,3054,3106,3.5,Melbourne City Council
Carnegie,4,h,1775000,S,3163,7822,10.1,Glen Eira City Council
Carnegie,3,h,,SP,3163,7822,10.1,Glen Eira City Council
Carnegie,1,u,295000,S,3163,7822,10.1,Glen Eira City Council
Caroline Springs,4,h,629000,S,3023,7719,14.8,Melton City Council
Caroline Springs,2,t,406000,S,3023,7719,14.8,Melton City Council
Carrum,3,h,825000,S,3197,1989,31.2,Kingston City Council
Carrum Downs,4,h,581500,S,3201,8060,34.9,Frankston City Council
Caulfield East,3,h,1400000,S,3145,608,8.4,Glen Eira City Council
Caulfield North,2,h,,SN,3161,6923,7.8,Glen Eira City Council
Caulfield South,2,u,,SN,3162,5051,8.7,Glen Eira City Council
Caulfield South,3,h,1538000,S,3162,5051,8.7,Glen Eira City Council
Chadstone,3,h,1354000,S,3148,3582,11.7,Monash City Council
Chelsea,3,u,886000,S,3196,3906,27,Kingston City Council
Cheltenham,4,h,,SN,3192,9758,17.9,Bayside City Council
Chintin,5,h,,PN,3756,39,44.2,Macedon Ranges Shire Council
Clayton,7,h,4000000,S,3168,5837,16.7,Monash City Council
Clayton,4,t,1010000,S,3168,5837,16.7,Monash City Council
Clayton,2,t,697500,S,3168,5837,16.7,Monash City Council
Clayton,4,h,,SN,3168,5837,16.7,Monash City Council
Clayton South,3,h,800000,S,3169,4734,17.5,Kingston City Council
Clifton Hill,4,h,,S,3068,2954,3.6,Yarra City Council
Clifton Hill,3,h,1805000,S,3068,2954,3.6,Yarra City Council
Clifton Hill,3,h,1400000,S,3068,2954,3.6,Yarra City Council
Coburg,3,h,1032500,S,3058,11204,6.7,Darebin City Council
Coburg,3,h,1070000,SP,3058,11204,6.7,Darebin City Council
Coburg,3,h,1005000,S,3058,11204,6.7,Darebin City Council
Coburg,2,h,905000,SP,3058,11204,6.7,Darebin City Council
Coburg,2,u,412000,S,3058,11204,6.7,Darebin City Council
Coburg,1,u,333000,SP,3058,11204,6.7,Darebin City Council
Coburg,2,h,797500,S,3058,11204,6.7,Darebin City Council
Coburg,2,u,430000,SP,3058,11204,6.7,Darebin City Council
Coburg North,2,t,490000,S,3058,3445,6.7,Darebin City Council
Coburg North,4,h,960000,SP,3058,3445,6.7,Darebin City Council
Collingwood,2,t,,S,3066,4553,2,Yarra City Council
Collingwood,2,u,960000,S,3066,4553,2,Yarra City Council
Craigieburn,3,h,356500,S,3064,15510,20.6,Hume City Council
Craigieburn,5,h,,SN,3064,15510,20.6,Hume City Council
Craigieburn,4,h,580500,S,3064,15510,20.6,Hume City Council
Craigieburn,3,h,573000,S,3064,15510,20.6,Hume City Council
Craigieburn,4,h,475000,SP,3064,15510,20.6,Hume City Council
Craigieburn,3,t,385000,S,3064,15510,20.6,Hume City Council
Cranbourne,3,h,,PI,3977,7680,34.7,Casey City Council
Cranbourne North,3,h,475000,S,3977,6464,34.7,Casey City Council
Croydon,3,t,744000,SP,3136,11925,23,Maroondah City Council
Croydon,4,h,,SN,3136,11925,23,Maroondah City Council
Croydon,3,h,,SP,3136,11925,23,Maroondah City Council
Croydon,3,h,746000,S,3136,11925,23,Maroondah City Council
Croydon,3,h,965000,S,3136,11925,23,Maroondah City Council
Dallas,3,h,455500,S,3047,2246,14,Hume City Council
Dandenong,3,h,800000,SP,3175,10894,24.7,Greater Dandenong City Council
Dandenong,3,h,610000,S,3175,10894,24.7,Greater Dandenong City Council
Dandenong,2,u,,PI,3175,10894,24.7,Greater Dandenong City Council
Dandenong North,2,u,307000,S,3175,8322,24.7,Greater Dandenong City Council
Darley,3,h,,SN,3340,2992,37.5,Moorabool Shire Council
Deepdene,2,h,1610000,S,3103,892,7.9,Boroondara City Council
Deer Park,5,h,589000,S,3023,6388,14.8,Brimbank City Council
Deer Park,4,h,603000,S,3023,6388,14.8,Brimbank City Council
Delahey,3,h,335000,S,3037,2898,18,Brimbank City Council
Diamond Creek,4,h,730000,SP,3089,4258,21.8,Nillumbik Shire Council
Dingley Village,4,h,920000,S,3172,3940,22.2,Kingston City Council
Dingley Village,3,h,770000,S,3172,3940,22.2,Kingston City Council
Dingley Village,4,h,1140000,S,3172,3940,22.2,Kingston City Council
Dingley Village,4,h,910000,S,3172,3940,22.2,Kingston City Council
Dingley Village,4,h,883850,S,3172,3940,22.2,Kingston City Council
Doncaster,4,h,1556000,S,3108,9028,12.4,Manningham City Council
Doncaster,4,h,,PI,3108,9028,12.4,Manningham City Council
Doncaster East,4,h,1249000,S,3109,10999,14.3,Manningham City Council
Doncaster East,3,t,950000,S,3109,10999,14.3,Manningham City Council
Doncaster East,3,t,820000,S,3109,10999,14.3,Manningham City Council
Doncaster East,4,h,1730000,S,3109,10999,14.3,Manningham City Council
Doncaster East,3,h,,SN,3109,10999,14.3,Manningham City Council
Donvale,3,h,1260000,S,3111,4790,16.1,Manningham City Council
Donvale,4,h,1300000,SP,3111,4790,16.1,Manningham City Council
Eaglemont,3,h,1820000,S,3084,1651,8.9,Banyule City Council
East Melbourne,1,u,675000,SP,3002,3040,1.3,Melbourne City Council
East Melbourne,4,h,4150000,S,3002,3040,1.3,Melbourne City Council
Edithvale,3,h,1130000,S,3196,2546,27,Kingston City Council
Elsternwick,3,t,1683000,S,3185,4898,7.2,Glen Eira City Council
Elsternwick,4,h,,S,3185,4898,7.2,Glen Eira City Council
Elsternwick,3,h,2250000,VB,3185,4898,7.2,Glen Eira City Council
Eltham,3,h,840500,SP,3095,6990,18,Banyule City Council
Eltham,3,h,900000,S,3095,6990,18,Banyule City Council
Eltham,3,h,837000,S,3095,6990,18,Banyule City Council
Eltham North,4,h,1000000,S,3095,2346,18,Banyule City Council
Elwood,1,u,,PI,3184,8989,7.2,Port Phillip City Council
Elwood,2,u,800000,S,3184,8989,7.2,Port Phillip City Council
Elwood,2,u,805000,S,3184,8989,7.2,Port Phillip City Council
Elwood,3,u,,SP,3184,8989,7.2,Port Phillip City Council
Elwood,2,u,,SP,3184,8989,7.2,Port Phillip City Council
Elwood,4,h,2985000,S,3184,8989,7.2,Port Phillip City Council
Elwood,5,h,,S,3184,8989,7.2,Port Phillip City Council
Endeavour Hills,4,h,690000,S,3802,8443,28.5,Casey City Council
Epping,3,h,497000,S,3076,10926,19.6,Whittlesea City Council
Epping,3,h,507500,S,3076,10926,19.6,Whittlesea City Council
Epping,5,h,1010000,S,3076,10926,19.6,Whittlesea City Council
Essendon,4,h,1930000,S,3040,9264,7.5,Moonee Valley City Council
Essendon,4,h,1399000,S,3040,9264,7.5,Moonee Valley City Council
Essendon,3,h,1512000,S,3040,9264,7.5,Moonee Valley City Council
Essendon,4,h,2000000,SP,3040,9264,7.5,Moonee Valley City Council
Essendon,3,u,552000,S,3040,9264,7.5,Moonee Valley City Council
Essendon,2,u,860000,S,3040,9264,7.5,Moonee Valley City Council
Essendon North,4,h,946000,S,3041,1308,8.2,Moonee Valley City Council
Essendon West,3,h,1430000,S,3040,588,7.5,Moonee Valley City Council
Fairfield,4,h,1270000,SA,3078,2970,5.7,Darebin City Council
Fawkner,3,h,635000,S,3060,5070,13.1,Hume City Council
Fawkner,3,h,630000,PI,3060,5070,13.1,Hume City Council
Fawkner,3,h,705000,S,3060,5070,13.1,Hume City Council
Fawkner,3,t,625000,S,3060,5070,13.1,Hume City Council
Ferntree Gully,3,h,665508,SP,3156,10788,24.8,Knox City Council
Ferntree Gully,3,h,691000,S,3156,10788,24.8,Knox City Council
Ferntree Gully,3,h,,PN,3156,10788,24.8,Knox City Council
Ferntree Gully,4,h,815000,S,3156,10788,24.8,Knox City Council
Ferntree Gully,3,h,730000,S,3156,10788,24.8,Knox City Council
Fitzroy,4,h,,S,3065,5825,2.1,Yarra City Council
Fitzroy,1,u,720000,SP,3065,5825,2.1,Yarra City Council
Fitzroy North,3,h,1890000,S,3068,6244,3.6,Moreland City Council
Fitzroy North,3,h,1454000,S,3068,6244,3.6,Moreland City Council
Fitzroy North,4,h,2061000,S,3068,6244,3.6,Moreland City Council
Fitzroy North,3,h,1310000,SP,3068,6244,3.6,Moreland City Council
Fitzroy North,2,u,995000,S,3068,6244,3.6,Moreland City Council
Fitzroy North,4,h,3259000,S,3068,6244,3.6,Moreland City Council
Fitzroy North,5,h,,S,3068,6244,3.6,Moreland City Council
Fitzroy North,3,h,,S,3068,6244,3.6,Moreland City Council
Fitzroy North,2,h,1325000,S,3068,6244,3.6,Moreland City Council
Footscray,1,u,331000,SP,3011,7570,5.1,Maribyrnong City Council
Footscray,3,h,1000000,PI,3011,7570,5.1,Maribyrnong City Council
Footscray,2,t,771000,S,3011,7570,5.1,Maribyrnong City Council
Forest Hill,3,h,1260000,S,3131,4385,15.4,Whitehorse City Council
Frankston,3,h,508000,S,3199,17055,38,Frankston City Council
Frankston,2,h,501500,S,3199,17055,38,Frankston City Council
Frankston North,3,h,450000,S,3200,2500,36.9,Frankston City Council
Frankston South,4,h,351000,SP,3199,7566,38,Frankston City Council
Gladstone Park,4,h,650000,S,3043,3285,12.9,Hume City Council
Glen Iris,3,t,,S,3146,10412,7.3,Boroondara City Council
Glen Iris,3,h,3730000,S,3146,10412,7.3,Boroondara City Council
Glen Iris,3,h,1225000,S,3146,10412,7.3,Boroondara City Council
Glen Iris,3,t,,S,3146,10412,7.3,Boroondara City Council
Glen Iris,4,h,1500000,VB,3146,10412,7.3,Boroondara City Council
Glen Iris,4,h,,S,3146,10412,7.3,Boroondara City Council
Glen Iris,4,h,,S,3146,10412,7.3,Boroondara City Council
Glen Waverley,4,t,1100080,SP,3150,15321,16.7,Monash City Council
Glen Waverley,4,h,1520000,SP,3150,15321,16.7,Monash City Council
Glen Waverley,7,h,1716000,S,3150,15321,16.7,Monash City Council
Glen Waverley,5,h,1100000,PI,3150,15321,16.7,Monash City Council
Glen Waverley,4,h,1467000,S,3150,15321,16.7,Monash City Council
Glen Waverley,3,h,1600000,PI,3150,15321,16.7,Monash City Council
Glen Waverley,4,h,1311000,S,3150,15321,16.7,Monash City Council
Glen Waverley,3,h,,PI,3150,15321,16.7,Monash City Council
Glenroy,3,t,582000,S,3046,8870,11.2,Moreland City Council
Gowanbrae,3,h,536000,S,3043,1071,12.9,Moreland City Council
Gowanbrae,3,h,696000,S,3043,1071,12.9,Moreland City Council
Greensborough,3,h,757000,S,3088,8524,16.1,Banyule City Council
Greensborough,4,h,860000,PI,3088,8524,16.1,Banyule City Council
Greensborough,3,h,768000,S,3088,8524,16.1,Banyule City Council
Greensborough,4,h,812000,S,3088,8524,16.1,Banyule City Council
Greensborough,3,h,782000,S,3088,8524,16.1,Banyule City Council
Greensborough,3,h,725000,S,3088,8524,16.1,Banyule City Council
Greensborough,4,h,680000,S,3088,8524,16.1,Banyule City Council
Greensborough,3,h,882000,S,3088,8524,16.1,Banyule City Council
Greenvale,4,h,,SN,3059,4864,20.4,Hume City Council
Greenvale,4,h,632000,S,3059,4864,20.4,Hume City Council
Hadfield,4,h,,PI,3046,2606,11.2,Moreland City Council
Hadfield,4,h,812000,S,3046,2606,11.2,Moreland City Council
Hadfield,3,h,837000,S,3046,2606,11.2,Moreland City Council
Hadfield,3,h,473000,SP,3046,2606,11.2,Moreland City Council
Hampton,4,h,,S,3188,5454,13.8,Bayside City Council
Hampton,3,h,2288500,S,3188,5454,13.8,Bayside City Council
Hampton,2,u,750000,S,3188,5454,13.8,Bayside City Council
Hampton,3,t,1510000,S,3188,5454,13.8,Bayside City Council
Hampton,3,h,1500000,PI,3188,5454,13.8,Bayside City Council
Hawthorn,3,u,855000,S,3122,11308,5.3,Boroondara City Council
Hawthorn,3,h,,S,3122,11308,5.3,Boroondara City Council
Hawthorn,4,h,,SP,3122,11308,5.3,Boroondara City Council
Hawthorn,2,u,490000,S,3122,11308,5.3,Boroondara City Council
Hawthorn,2,u,620000,PI,3122,11308,5.3,Boroondara City Council
Hawthorn,2,u,600000,S,3122,11308,5.3,Boroondara City Council
Hawthorn,3,h,,S,3122,11308,5.3,Boroondara City Council
Hawthorn,3,u,975000,S,3122,11308,5.3,Boroondara City Council
Heathmont,2,h,,SN,3135,3794,21.3,Maroondah City Council
Heidelberg,2,u,655000,S,3084,2890,8.9,Banyule City Council
Heidelberg,4,h,1420000,S,3084,2890,8.9,Banyule City Council
Heidelberg Heights,3,h,786000,S,3081,2947,8.8,Banyule City Council
Heidelberg Heights,2,u,,S,3081,2947,8.8,Banyule City Council
Heidelberg Heights,3,h,959000,S,3081,2947,8.8,Banyule City Council
Heidelberg West,3,h,720000,S,3081,2674,8.8,Banyule City Council
Highett,4,t,,PI,3190,4794,16,Bayside City Council
Highett,3,h,1322000,S,3190,4794,16,Bayside City Council
Highett,4,h,,PI,3190,4794,16,Bayside City Council
Hillside,4,h,612500,S,3037,5556,18,Brimbank City Council
Hillside,4,h,630000,SP,3037,5556,18,Brimbank City Council
Hoppers Crossing,4,h,715000,S,3029,13830,18.4,Wyndham City Council
Hoppers Crossing,3,h,,S,3029,13830,18.4,Wyndham City Council
Hoppers Crossing,4,h,686500,S,3029,13830,18.4,Wyndham City Council
Hughesdale,2,h,1065000,S,3166,3145,12.3,Monash City Council
Hughesdale,4,h,1355000,S,3166,3145,12.3,Monash City Council
Huntingdale,3,h,1145000,S,3166,768,12.3,Monash City Council
Ivanhoe,2,h,792000,S,3079,5549,7.8,Banyule City Council
Ivanhoe,3,h,1440000,SP,3079,5549,7.8,Banyule City Council
Ivanhoe,4,h,,S,3079,5549,7.8,Banyule City Council
Ivanhoe,2,u,660000,VB,3079,5549,7.8,Banyule City Council
Ivanhoe,3,h,1977000,S,3079,5549,7.8,Banyule City Council
Ivanhoe,3,h,1840000,SP,3079,5549,7.8,Banyule City Council
Ivanhoe,4,h,1275000,PI,3079,5549,7.8,Banyule City Council
Ivanhoe East,3,h,1781000,S,3079,1554,7.8,Banyule City Council
Jacana,3,h,575000,S,3047,851,14,Hume City Council
Jacana,3,h,542000,S,3047,851,14,Hume City Council
Keilor Downs,3,h,569000,S,3038,3656,15.5,Brimbank City Council
Keilor East,3,h,950000,S,3033,5629,11.7,Brimbank City Council
Keilor East,4,h,850000,S,3033,5629,11.7,Brimbank City Council
Keilor East,3,h,,S,3033,5629,11.7,Brimbank City Council
Keilor East,3,h,756000,S,3033,5629,11.7,Brimbank City Council
Keilor East,3,h,,SP,3033,5629,11.7,Brimbank City Council
Keilor East,3,u,680000,S,3033,5629,11.7,Brimbank City Council
Kensington,1,u,360000,VB,3031,5263,3.4,Melbourne City Council
Kensington,1,u,325000,PI,3031,5263,3.4,Melbourne City Council
Kensington,4,h,1103000,S,3031,5263,3.4,Melbourne City Council
Kensington,2,h,901000,S,3031,5263,3.4,Melbourne City Council
Kensington,2,t,,SN,3031,5263,3.4,Melbourne City Council
Kew,2,u,653000,S,3101,10331,5.4,Boroondara City Council
Kew,4,h,,S,3101,10331,5.4,Boroondara City Council
Kew,3,h,,SP,3101,10331,5.4,Boroondara City Council
Kew,3,h,2000000,S,3101,10331,5.4,Boroondara City Council
Kew,3,h,,SN,3101,10331,5.4,Boroondara City Council
Kew,4,h,1610000,S,3101,10331,5.4,Boroondara City Council
Kew,3,h,,S,3101,10331,5.4,Boroondara City Council
Kew,3,h,,PN,3101,10331,5.4,Boroondara City Council
Kew,4,h,2315000,SP,3101,10331,5.4,Boroondara City Council
Kew,3,h,1050000,VB,3101,10331,5.4,Boroondara City Council
Kew,3,h,,S,3101,10331,5.4,Boroondara City Council
Kew,3,h,2155000,SP,3101,10331,5.4,Boroondara City Council
Kew,3,u,830000,SP,3101,10331,5.4,Boroondara City Council
Kew East,5,h,,SP,3102,2671,7.3,Boroondara City Council
Kew East,4,h,1770000,S,3102,2671,7.3,Boroondara City Council
Keysborough,3,h,600000,PI,3173,8459,25.2,Greater Dandenong City Council
Kingsville,3,h,,PI,3012,1808,6.4,Maribyrnong City Council
Kingsville,3,h,,PI,3012,1808,6.4,Maribyrnong City Council
Kingsville,3,h,,SP,3012,1808,6.4,Maribyrnong City Council
Knoxfield,4,h,,SN,3180,2949,23.3,Knox City Council
Kurunjang,4,h,,SN,3337,3553,31.7,Melton City Council
Lalor,3,h,592000,S,3075,8279,16.3,Whittlesea City Council
Lilydale,4,h,,PN,3140,6732,29.9,Yarra Ranges Shire Council
MacLeod,5,h,,S,3085,4168,12.7,Banyule City Council
MacLeod,4,h,1120000,VB,3085,4168,12.7,Banyule City Council
MacLeod,3,u,710000,S,3085,4168,12.7,Banyule City Council
MacLeod,3,h,915000,S,3085,4168,12.7,Banyule City Council
Maidstone,2,u,,PI,3012,3873,6.4,Maribyrnong City Council
Malvern,1,u,360000,PI,3144,4675,5.9,Stonnington City Council
Malvern,4,h,2400000,VB,3144,4675,5.9,Stonnington City Council
Malvern,3,h,1350000,S,3144,4675,5.9,Stonnington City Council
Malvern,1,u,450000,S,3144,4675,5.9,Stonnington City Council
Malvern,4,h,,SN,3144,4675,5.9,Stonnington City Council
Malvern East,3,h,,S,3145,8801,8.4,Stonnington City Council
Malvern East,3,h,2000000,S,3145,8801,8.4,Stonnington City Council
Malvern East,3,t,1150000,VB,3145,8801,8.4,Stonnington City Council
Maribyrnong,3,h,813000,S,3032,4918,4.3,Maribyrnong City Council
Maribyrnong,2,u,330000,S,3032,4918,4.3,Maribyrnong City Council
Maribyrnong,5,h,1425000,SP,3032,4918,4.3,Maribyrnong City Council
McKinnon,3,u,875000,PI,3204,2397,11.4,Glen Eira City Council
McKinnon,2,h,1265000,S,3204,2397,11.4,Glen Eira City Council
McKinnon,3,h,1200000,SP,3204,2397,11.4,Glen Eira City Council
Meadow Heights,3,h,520000,S,3048,4704,17.4,Hume City Council
Melbourne,2,u,605000,S,3000,17496,0,Melbourne City Council
Melbourne,2,u,649000,PI,3000,17496,0,Melbourne City Council
Melbourne,1,u,440000,SP,3000,17496,0,Melbourne City Council
Melton,3,h,431000,S,3337,3600,31.7,Melton City Council
Mentone,4,h,1300000,S,3194,6162,20,Kingston City Council
Mentone,1,u,337000,S,3194,6162,20,Kingston City Council
Mentone,3,t,,S,3194,6162,20,Kingston City Council
Mernda,4,h,525500,S,3754,5812,25.9,Whittlesea City Council
Middle Park,2,u,800000,S,3206,2019,3,Port Phillip City Council
Mill Park,3,h,425000,S,3082,10529,17.9,Whittlesea City Council
Mill Park,3,h,595500,S,3082,10529,17.9,Whittlesea City Council
Mill Park,3,h,660000,S,3082,10529,17.9,Whittlesea City Council
Mitcham,4,h,,SN,3132,6871,17.2,Whitehorse City Council
