Rooms,Price,Postcode,Propertycount,Distance
3,1685000,3056,11918,5.2
2,625000,3056,11918,5.2
3,1470000,3057,5533,4
2,860000,3057,5533,4
3,900000,3055,7082,5.2
2,398000,3055,7082,5.2
2,576000,3055,7082,5.2
4,1400000,3055,7082,5.2
5,,3055,7082,5.2
3,850000,3055,7082,5.2
4,1150000,3105,4480,10.8
2,525000,3083,10175,12.1
4,740000,3083,10175,12.1
2,340000,3083,10175,12.1
5,1265000,3125,5678,10.4
3,1000000,3125,5678,10.4
4,1460000,3151,4048,14.7
4,1200000,3151,4048,14.7
4,935000,3151,4048,14.7
3,780000,3151,4048,14.7
2,868000,3124,8920,7.7
3,1375000,3124,8920,7.7
2,1235000,3124,8920,7.7
3,1510000,3124,8920,7.7
3,1520000,3124,8920,7.7
2,835000,3124,8920,7.7
2,495000,3124,8920,7.7
6,,3124,8920,7.7
4,2100500,3124,8920,7.7
5,3300000,3126,3265,8.4
2,,3053,6786,1.6
2,1470000,3054,3106,3.5
3,2410000,3054,3106,3.5
4,1775000,3163,7822,10.1
3,,3163,7822,10.1
1,295000,3163,7822,10.1
4,629000,3023,7719,14.8
2,406000,3023,7719,14.8
3,825000,3197,1989,31.2
4,581500,3201,8060,34.9
3,1400000,3145,608,8.4
2,,3161,6923,7.8
2,,3162,5051,8.7
3,1538000,3162,5051,8.7
3,1354000,3148,3582,11.7
3,886000,3196,3906,27
4,,3192,9758,17.9
5,,3756,39,44.2
7,4000000,3168,5837,16.7
4,1010000,3168,5837,16.7
2,697500,3168,5837,16.7
4,,3168,5837,16.7
3,800000,3169,4734,17.5
4,,3068,2954,3.6
3,1805000,3068,2954,3.6
3,1400000,3068,2954,3.6
3,1032500,3058,11204,6.7
3,1070000,3058,11204,6.7
3,1005000,3058,11204,6.7
2,905000,3058,11204,6.7
2,412000,3058,11204,6.7
1,333000,3058,11204,6.7
2,797500,3058,11204,6.7
2,430000,3058,11204,6.7
2,490000,3058,3445,6.7
4,960000,3058,3445,6.7
2,,3066,4553,2
2,960000,3066,4553,2
3,356500,3064,15510,20.6
5,,3064,15510,20.6
4,580500,3064,15510,20.6
3,573000,3064,15510,20.6
4,475000,3064,15510,20.6
3,385000,3064,15510,20.6
3,,3977,7680,34.7
3,475000,3977,6464,34.7
3,744000,3136,11925,23
4,,3136,11925,23
3,,3136,11925,23
3,746000,3136,11925,23
3,965000,3136,11925,23
3,455500,3047,2246,14
3,800000,3175,10894,24.7
3,610000,3175,10894,24.7
2,,3175,10894,24.7
2,307000,3175,8322,24.7
3,,3340,2992,37.5
2,1610000,3103,892,7.9
5,589000,3023,6388,14.8
4,603000,3023,6388,14.8
3,335000,3037,2898,18
4,730000,3089,4258,21.8
4,920000,3172,3940,22.2
3,770000,3172,3940,22.2
4,1140000,3172,3940,22.2
4,910000,3172,3940,22.2
4,883850,3172,3940,22.2
4,1556000,3108,9028,12.4
4,,3108,9028,12.4
4,1249000,3109,10999,14.3
3,950000,3109,10999,14.3
3,820000,3109,10999,14.3
4,1730000,3109,10999,14.3
3,,3109,10999,14.3
3,1260000,3111,4790,16.1
4,1300000,3111,4790,16.1
3,1820000,3084,1651,8.9
1,675000,3002,3040,1.3
4,4150000,3002,3040,1.3
3,1130000,3196,2546,27
3,1683000,3185,4898,7.2
4,,3185,4898,7.2
3,2250000,3185,4898,7.2
3,840500,3095,6990,18
3,900000,3095,6990,18
3,837000,3095,6990,18
4,1000000,3095,2346,18
1,,3184,8989,7.2
2,800000,3184,8989,7.2
2,805000,3184,8989,7.2
3,,3184,8989,7.2
2,,3184,8989,7.2
4,2985000,3184,8989,7.2
5,,3184,8989,7.2
4,690000,3802,8443,28.5
3,497000,3076,10926,19.6
3,507500,3076,10926,19.6
5,1010000,3076,10926,19.6
4,1930000,3040,9264,7.5
4,1399000,3040,9264,7.5
3,1512000,3040,9264,7.5
4,2000000,3040,9264,7.5
3,552000,3040,9264,7.5
2,860000,3040,9264,7.5
4,946000,3041,1308,8.2
3,1430000,3040,588,7.5
4,1270000,3078,2970,5.7
3,635000,3060,5070,13.1
3,630000,3060,5070,13.1
3,705000,3060,5070,13.1
3,625000,3060,5070,13.1
3,665508,3156,10788,24.8
3,691000,3156,10788,24.8
3,,3156,10788,24.8
4,815000,3156,10788,24.8
3,730000,3156,10788,24.8
4,,3065,5825,2.1
1,720000,3065,5825,2.1
3,1890000,3068,6244,3.6
3,1454000,3068,6244,3.6
4,2061000,3068,6244,3.6
3,1310000,3068,6244,3.6
2,995000,3068,6244,3.6
4,3259000,3068,6244,3.6
5,,3068,6244,3.6
3,,3068,6244,3.6
2,1325000,3068,6244,3.6
1,331000,3011,7570,5.1
3,1000000,3011,7570,5.1
2,771000,3011,7570,5.1
3,1260000,3131,4385,15.4
3,508000,3199,17055,38
2,501500,3199,17055,38
3,450000,3200,2500,36.9
4,351000,3199,7566,38
4,650000,3043,3285,12.9
3,,3146,10412,7.3
3,3730000,3146,10412,7.3
3,1225000,3146,10412,7.3
3,,3146,10412,7.3
4,1500000,3146,10412,7.3
4,,3146,10412,7.3
4,,3146,10412,7.3
4,1100080,3150,15321,16.7
4,1520000,3150,15321,16.7
7,1716000,3150,15321,16.7
5,1100000,3150,15321,16.7
4,1467000,3150,15321,16.7
3,1600000,3150,15321,16.7
4,1311000,3150,15321,16.7
3,,3150,15321,16.7
3,582000,3046,8870,11.2
3,536000,3043,1071,12.9
3,696000,3043,1071,12.9
3,757000,3088,8524,16.1
4,860000,3088,8524,16.1
3,768000,3088,8524,16.1
4,812000,3088,8524,16.1
3,782000,3088,8524,16.1
3,725000,3088,8524,16.1
4,680000,3088,8524,16.1
3,882000,3088,8524,16.1
4,,3059,4864,20.4
4,632000,3059,4864,20.4
4,,3046,2606,11.2
4,812000,3046,2606,11.2
3,837000,3046,2606,11.2
3,473000,3046,2606,11.2
4,,3188,5454,13.8
3,2288500,3188,5454,13.8
2,750000,3188,5454,13.8
3,1510000,3188,5454,13.8
3,1500000,3188,5454,13.8
3,855000,3122,11308,5.3
3,,3122,11308,5.3
4,,3122,11308,5.3
2,490000,3122,11308,5.3
2,620000,3122,11308,5.3
2,600000,3122,11308,5.3
3,,3122,11308,5.3
3,975000,3122,11308,5.3
2,,3135,3794,21.3
2,655000,3084,2890,8.9
4,1420000,3084,2890,8.9
3,786000,3081,2947,8.8
2,,3081,2947,8.8
3,959000,3081,2947,8.8
3,720000,3081,2674,8.8
4,,3190,4794,16
3,1322000,3190,4794,16
4,,3190,4794,16
4,612500,3037,5556,18
4,630000,3037,5556,18
4,715000,3029,13830,18.4
3,,3029,13830,18.4
4,686500,3029,13830,18.4
2,1065000,3166,3145,12.3
4,1355000,3166,3145,12.3
3,1145000,3166,768,12.3
2,792000,3079,5549,7.8
3,1440000,3079,5549,7.8
4,,3079,5549,7.8
2,660000,3079,5549,7.8
3,1977000,3079,5549,7.8
3,1840000,3079,5549,7.8
4,1275000,3079,5549,7.8
3,1781000,3079,1554,7.8
3,575000,3047,851,14
3,542000,3047,851,14
3,569000,3038,3656,15.5
3,950000,3033,5629,11.7
4,850000,3033,5629,11.7
3,,3033,5629,11.7
3,756000,3033,5629,11.7
3,,3033,5629,11.7
3,680000,3033,5629,11.7
1,360000,3031,5263,3.4
1,325000,3031,5263,3.4
4,1103000,3031,5263,3.4
2,901000,3031,5263,3.4
2,,3031,5263,3.4
2,653000,3101,10331,5.4
4,,3101,10331,5.4
3,,3101,10331,5.4
3,2000000,3101,10331,5.4
3,,3101,10331,5.4
4,1610000,3101,10331,5.4
3,,3101,10331,5.4
3,,3101,10331,5.4
4,2315000,3101,10331,5.4
3,1050000,3101,10331,5.4
3,,3101,10331,5.4
3,2155000,3101,10331,5.4
3,830000,3101,10331,5.4
5,,3102,2671,7.3
4,1770000,3102,2671,7.3
3,600000,3173,8459,25.2
3,,3012,1808,6.4
3,,3012,1808,6.4
3,,3012,1808,6.4
4,,3180,2949,23.3
4,,3337,3553,31.7
3,592000,3075,8279,16.3
4,,3140,6732,29.9
5,,3085,4168,12.7
4,1120000,3085,4168,12.7
3,710000,3085,4168,12.7
3,915000,3085,4168,12.7
2,,3012,3873,6.4
1,360000,3144,4675,5.9
4,2400000,3144,4675,5.9
3,1350000,3144,4675,5.9
1,450000,3144,4675,5.9
4,,3144,4675,5.9
3,,3145,8801,8.4
3,2000000,3145,8801,8.4
3,1150000,3145,8801,8.4
3,813000,3032,4918,4.3
2,330000,3032,4918,4.3
5,1425000,3032,4918,4.3
3,875000,3204,2397,11.4
2,1265000,3204,2397,11.4
3,1200000,3204,2397,11.4
3,520000,3048,4704,17.4
2,605000,3000,17496,0
2,649000,3000,17496,0
1,440000,3000,17496,0
3,431000,3337,3600,31.7
4,1300000,3194,6162,20
1,337000,3194,6162,20
3,,3194,6162,20
4,525500,3754,5812,25.9
2,800000,3206,2019,3
3,425000,3082,10529,17.9
3,595500,3082,10529,17.9
3,660000,3082,10529,17.9
4,,3132,6871,17.2
3,1300000,3132,6871,17.2
3,820000,3094,3891,16.2
3,725000,3094,3891,16.2
2,1180000,3039,6232,6.2
2,910000,3039,6232,6.2
3,887500,3039,6232,6.2
3,1143000,3039,6232,6.2
3,,3039,6232,6.2
3,1117500,3039,6232,6.2
3,1330000,3039,6232,6.2
2,800000,3189,2555,14.3
5,1410000,3189,2555,14.3
1,457500,3189,2555,14.3
3,778000,3138,8280,26.5
3,822000,3195,3650,21.5
3,895000,3195,3650,21.5
4,1300000,3195,3650,21.5
2,568888,3149,13366,14.2
5,3105000,3149,13366,14.2
4,1500000,3149,13366,14.2
3,1030000,3149,13366,14.2
2,,3149,13366,14.2
4,,3149,13366,14.2
5,,3149,13366,14.2
4,1275000,3149,13366,14.2
3,1360000,3149,13366,14.2
5,,3149,13366,14.2
5,,3149,13366,14.2
4,980000,3149,13366,14.2
3,,3149,13366,14.2
5,1601000,3149,13366,14.2
4,1780000,3149,13366,14.2
3,630000,3170,7113,18.8
4,925000,3170,7113,18.8
3,868000,3170,7113,18.8
5,880000,3170,7113,18.8
3,920000,3170,7113,18.8
4,1550000,3163,4442,10.1
2,720000,3163,4442,10.1
2,586500,3163,4442,10.1
3,551000,3805,9376,34.1
4,510000,3805,9376,34.1
2,1032000,3015,5498,6.2
3,1270000,3015,5498,6.2
4,710000,3174,11806,22.7
6,1815000,3051,6821,1.8
1,420000,3051,6821,1.8
2,1200000,3070,11364,5.3
1,345000,3070,11364,5.3
3,,3070,11364,5.3
3,1075000,3070,11364,5.3
3,1332000,3070,11364,5.3
1,,3070,11364,5.3
3,685000,3131,4973,15.4
3,1185000,3131,4973,15.4
3,806000,3131,4973,15.4
3,857000,3046,2651,11.2
4,945000,3046,2651,11.2
4,986000,3166,3224,12.3
2,1120000,3167,3692,15.5
3,710000,3167,3692,15.5
2,420000,3204,3578,11.4
2,490000,3204,3578,11.4
3,,3204,3578,11.4
3,1100000,3204,3578,11.4
3,378000,3810,17384,47.3
3,1260000,3195,5087,21.5
3,1200000,3195,5087,21.5
2,669000,3195,5087,21.5
1,668000,3052,2309,1.8
4,945000,3044,7485,8.5
2,650000,3044,7485,8.5
4,1510000,3044,7485,8.5
2,522000,3044,7485,8.5
3,760000,3044,7485,8.5
3,930000,3044,7485,8.5
3,645000,3197,3351,31.2
4,,3090,777,20.1
3,641000,3030,15542,14.7
4,720000,3030,15542,14.7
2,625000,3207,8648,3.5
3,1400000,3207,8648,3.5
4,2090000,3207,8648,3.5
1,505000,3207,8648,3.5
3,1650000,3207,8648,3.5
1,311000,3181,7717,4.6
2,1325000,3181,7717,4.6
3,,3181,7717,4.6
2,940000,3181,7717,4.6
3,893000,3072,14577,8.4
2,410000,3072,14577,8.4
3,640000,3072,14577,8.4
3,1239500,3072,14577,8.4
2,530000,3072,14577,8.4
3,610000,3073,21650,12
2,710000,3073,21650,12
3,,3073,21650,12
1,357500,3073,21650,12
2,560000,3073,21650,12
2,390000,3073,21650,12
4,,3073,21650,12
3,700000,3073,21650,12
2,846000,3073,21650,12
3,500000,3073,21650,12
5,1100000,3073,21650,12
3,,3073,21650,12
2,655000,3073,21650,12
2,520000,3073,21650,12
3,850000,3073,21650,12
3,,3073,21650,12
3,886500,3073,21650,12
2,1110000,3121,14949,2.4
2,906000,3121,14949,2.4
2,1100000,3121,14949,2.4
2,610000,3121,14949,2.4
1,550000,3121,14949,2.4
2,514500,3121,14949,2.4
3,,3121,14949,2.4
3,1619000,3121,14949,2.4
3,410000,3431,1475,47.4
3,,3134,7785,19.9
2,,3134,7785,19.9
3,739000,3134,7785,19.9
4,901000,3135,4407,21.3
3,700000,3135,4407,21.3
3,805000,3134,3619,19.9
3,,3084,3540,8.9
2,,3084,3540,8.9
3,,3178,11667,23.5
4,,3178,11667,23.5
4,868200,3178,11667,23.5
3,,3064,5833,20.6
4,462000,3064,5833,20.6
4,448000,3064,5833,20.6
3,393500,3064,5833,20.6
3,,3064,5833,20.6
4,,3191,4497,15.2
3,1450000,3191,4497,15.2
3,,3191,4497,15.2
3,821000,3179,2206,22.2
4,701000,3198,8077,35.4
3,865500,3011,2417,5.1
2,362000,3011,2417,5.1
2,,3205,5943,1.9
2,651000,3205,5943,1.9
4,711000,3752,7969,20.5
4,560000,3752,7969,20.5
3,387000,3752,7969,20.5
4,,3752,7969,20.5
5,920000,3752,7969,20.5
4,706000,3752,7969,20.5
5,5000000,3141,14887,2.7
1,480000,3141,14887,2.7
2,495000,3141,14887,2.7
4,,3141,14887,2.7
2,705000,3141,14887,2.7
1,392000,3141,14887,2.7
2,630000,3006,8400,0.7
3,667500,3015,1223,6.2
3,860000,3171,7412,20.8
4,860000,3021,14042,14
3,610000,3021,14042,14
3,605000,3021,14042,14
3,645000,3021,14042,14
3,,3021,14042,14
1,1100000,3021,14042,14
3,640000,3182,13240,5
1,,3182,13240,5
2,501500,3182,13240,5
3,890000,3041,3284,8.2
4,1301000,3041,3284,8.2
3,900000,3041,389,8.2
3,890000,3020,3755,10.5
3,,3020,3755,10.5
2,430000,3020,3755,10.5
3,1200000,3020,3755,10.5
3,612000,3020,3755,10.5
3,732000,3020,4217,10.5
4,861800,3020,4217,10.5
4,630000,3020,6763,10.5
3,,3020,6763,10.5
2,,3127,5457,10.2
5,3250000,3127,5457,10.2
4,,3127,5457,10.2
4,1600000,3127,5457,10.2
2,,3127,5457,10.2
3,,3127,5457,10.2
5,593000,3037,3640,18
4,547000,3037,3640,18
3,,3038,5336,15.5
4,645500,3038,5336,15.5
5,1952000,3106,6202,15.5
3,1175000,3106,6202,15.5
4,1750000,3106,6202,15.5
4,1380000,3106,6202,15.5
3,965000,3106,6202,15.5
4,1051888,3107,5420,12.4
5,1310000,3107,5420,12.4
4,1150000,3107,5420,12.4
4,1255000,3107,5420,12.4
5,1351000,3107,5420,12.4
3,1161500,3107,5420,12.4
3,580000,3074,7955,15.3
3,745000,3074,7955,15.3
3,576000,3074,7955,15.3
3,517000,3074,7955,15.3
3,525000,3074,7955,15.3
2,,3071,8870,7
2,1260000,3071,8870,7
3,,3071,8870,7
4,1651118,3071,8870,7
1,,3142,7217,4.1
2,580000,3142,7217,4.1
2,1850000,3142,7217,4.1
3,,3142,7217,4.1
3,855000,3142,7217,4.1
3,1600000,3142,7217,4.1
3,,3029,5811,18.4
4,695000,3043,3296,12.9
3,560000,3043,3296,12.9
2,,3043,3296,12.9
4,1120000,3133,4280,17.2
4,,3133,4280,17.2
5,,3152,5424,14.7
4,921000,3152,7082,14.7
3,,3152,7082,14.7
5,1390000,3152,7082,14.7
4,,3113,2003,21.1
3,730000,3113,2003,21.1
2,700000,3030,16166,14.7
3,452000,3030,16166,14.7
3,,3030,16166,14.7
3,430000,3030,16166,14.7
3,720000,3012,5058,6.4
3,975000,3012,5058,6.4
2,930000,3012,5058,6.4
1,315000,3003,2230,3.1
2,470000,3049,2474,16.5
3,,3049,2474,16.5
4,,3150,7392,16.7
4,1185000,3150,7392,16.7
3,,3150,7392,16.7
4,1050000,3150,7392,16.7
3,1131000,3150,7392,16.7
5,1700000,3016,6380,6.8
3,1520000,3016,6380,6.8
3,1621000,3016,6380,6.8
2,1670000,3181,4380,4.6
2,652000,3181,4380,4.6
4,660000,3750,2940,25.5
4,567500,3750,2940,25.5
3,472500,3750,2940,25.5
5,,3024,5262,27.2
3,380000,3024,5262,27.2
2,,3013,6543,6.3
3,1381000,3013,6543,6.3
3,,3013,6543,6.3
2,607500,3013,6543,6.3
3,1120000,3013,6543,6.3
2,802000,3013,6543,6.3
6,1550000,3013,6543,6.3
3,1350000,3067,4019,3
3,858000,3042,3464,10.4
2,593000,3042,3464,10.4
3,640000,3042,3464,10.4
3,961000,3042,3464,10.4
2,1535000,3206,3280,3
3,570000,3020,2185,10.5
4,2345000,3078,2211,5.7
4,,3078,2211,5.7
3,,3028,7630,15.5
3,900000,3025,5132,9.4
3,,3025,5132,9.4
2,650000,3025,5132,9.4
2,480000,3022,1281,12.8
5,5200000,3143,4836,6.3
3,950000,3032,6567,4.3
4,,3032,6567,4.3
3,1225000,3147,2894,10.2
5,1025000,3049,1130,16.5
3,622000,3034,4502,9.5
3,825000,3034,4502,9.5
4,1475000,3103,5682,7.9
5,3050000,3103,5682,7.9
4,,3104,7809,9.7
5,2160000,3104,7809,9.7
3,1050000,3104,7809,9.7
6,,3104,7809,9.7
3,1275000,3104,7809,9.7
3,640000,3153,5030,23.2
3,500000,3153,3598,23.2
4,825000,3153,3598,23.2
1,,3193,5366,17.3
2,800000,3193,5366,17.3
4,1221000,3193,5366,17.3
4,1800000,3193,5366,17.3
5,,3193,5366,17.3
4,1823000,3193,5366,17.3
6,2000000,3193,5366,17.3
3,1365000,3204,6795,11.4
3,1045000,3204,6795,11.4
5,1220000,3165,10969,13.8
4,627500,3806,17093,35.2
3,1095000,3130,5713,13.4
4,,3130,5713,13.4
3,1020000,3130,4387,13.4
3,,3130,4387,13.4
3,642000,3155,9704,25
3,840000,3088,1390,16.1
3,2650000,3186,10579,10.5
1,380000,3186,10579,10.5
5,3250000,3186,10579,10.5
4,1731000,3187,6938,10.3
3,465000,3047,4294,14
3,518500,3047,4294,14
3,665000,3012,962,6.4
2,692000,3056,11918,5.2
2,1305000,3057,5533,4
3,,3055,7082,5.2
3,1100000,3055,7082,5.2
2,573000,3055,7082,5.2
3,1060000,3105,4480,10.8
4,,3083,10175,12.1
3,805000,3083,10175,12.1
3,682000,3083,10175,12.1
3,510000,3083,10175,12.1
3,535000,3023,1686,14.8
4,1088000,3151,4048,14.7
3,1180000,3151,4048,14.7
3,630000,3023,2674,14.8
2,677000,3124,8920,7.7
3,,3124,8920,7.7
2,670000,3124,8920,7.7
3,1320000,3124,8920,7.7
2,816000,3126,3265,8.4
1,350000,3053,6786,1.6
2,620000,3053,6786,1.6
3,1760000,3053,6786,1.6
1,300000,3163,7822,10.1
3,545000,3023,7719,14.8
4,1800000,3162,5051,8.7
2,1091500,3162,5051,8.7
3,,3148,3582,11.7
5,1140000,3192,9758,17.9
3,950000,3192,9758,17.9
2,1171000,3192,9758,17.9
2,425000,3192,9758,17.9
3,1116000,3192,9758,17.9
3,,3169,2727,17.5
3,,3168,5837,16.7
4,,3168,5837,16.7
3,1030000,3068,2954,3.6
4,689000,3978,2987,43.4
2,900000,3058,11204,6.7
2,620000,3058,11204,6.7
4,922000,3058,11204,6.7
3,,3058,11204,6.7
3,1077000,3058,11204,6.7
4,800000,3058,3445,6.7
3,805000,3058,3445,6.7
4,665000,3064,15510,20.6
4,607000,3064,15510,20.6
3,515500,3064,15510,20.6
4,509500,3064,15510,20.6
3,660000,3064,15510,20.6
5,572000,3977,7680,34.7
4,932000,3136,11925,23
2,566100,3136,11925,23
2,570000,3136,11925,23
4,875000,3136,11925,23
3,,3136,1705,23
4,810000,3136,2985,23
3,585000,3175,10894,24.7
2,348000,3175,10894,24.7
3,627000,3175,8322,24.7
3,760000,3175,8322,24.7
2,621000,3089,4258,21.8
2,612000,3172,3940,22.2
3,840000,3108,9028,12.4
3,945000,3108,9028,12.4
6,1856000,3109,10999,14.3
7,2705000,3111,4790,16.1
3,818000,3111,4790,16.1
3,852000,3111,4790,16.1
3,530500,3754,7254,25.9
4,,3084,1651,8.9
2,,3002,3040,1.3
3,1092000,3196,2546,27
3,975000,3095,6990,18
3,805000,3095,6990,18
4,770000,3095,2346,18
2,,3095,2346,18
2,,3184,8989,7.2
2,,3184,8989,7.2
1,425000,3184,8989,7.2
2,,3184,8989,7.2
3,,3782,2259,36.9
3,,3076,10926,19.6
4,940000,3076,10926,19.6
2,437000,3076,10926,19.6
5,660000,3076,10926,19.6
3,1325000,3040,9264,7.5
1,310000,3040,9264,7.5
3,864000,3040,9264,7.5
1,291000,3040,9264,7.5
3,750000,3040,588,7.5
4,,3040,588,7.5
5,2200000,3040,588,7.5
3,515000,3177,845,28.8
3,580000,3177,845,28.8
3,1550000,3078,2970,5.7
2,672000,3060,5070,13.1
3,720000,3060,5070,13.1
2,414000,3156,10788,24.8
2,1350000,3068,6244,3.6
3,1852000,3068,6244,3.6
2,1100000,3068,6244,3.6
2,,3011,7570,5.1
3,815000,3011,7570,5.1
1,170000,3011,7570,5.1
4,1372000,3131,4385,15.4
3,850500,3131,4385,15.4
2,400000,3199,17055,38
3,640000,3199,17055,38
3,,3199,17055,38
3,611000,3200,2500,36.9
3,,3199,7566,38
3,755000,3199,7566,38
4,521000,3437,3376,45.9
3,625000,3043,3285,12.9
3,650000,3043,3285,12.9
4,1910000,3146,10412,7.3
3,1900000,3146,10412,7.3
2,500000,3146,10412,7.3
2,523000,3146,10412,7.3
4,,3150,15321,16.7
4,1250000,3150,15321,16.7
3,,3150,15321,16.7
3,,3150,15321,16.7
2,460000,3046,8870,11.2
3,600000,3046,8870,11.2
3,595000,3046,8870,11.2
3,,3046,8870,11.2
3,525000,3046,8870,11.2
3,847000,3046,8870,11.2
6,990000,3088,8524,16.1
3,645000,3088,8524,16.1
3,880000,3088,8524,16.1
2,695000,3088,8524,16.1
3,630000,3059,4864,20.4
5,,3059,4864,20.4
2,500000,3046,2606,11.2
3,662500,3803,3728,32.3
3,1210000,3188,5454,13.8
3,1910000,3188,5454,13.8
3,,3188,5454,13.8
3,1140000,3188,2356,13.8
3,,3188,2356,13.8
2,,3122,11308,5.3
1,395000,3122,11308,5.3
3,1000000,3122,11308,5.3
2,450000,3122,11308,5.3
4,2900000,3122,11308,5.3
2,820000,3122,11308,5.3
2,450000,3122,11308,5.3
3,650000,3777,3307,45.2
3,,3135,3794,21.3
5,,3135,3794,21.3
4,,3135,3794,21.3
4,,3135,3794,21.3
3,,3084,2890,8.9
3,790000,3081,2947,8.8
2,780000,3081,2947,8.8
3,726500,3081,2674,8.8
3,710000,3081,2674,8.8
2,,3190,4794,16
2,,3190,4794,16
2,645000,3190,4794,16
5,650500,3037,5556,18
3,471000,3029,13830,18.4
3,683000,3029,13830,18.4
3,440000,3029,13830,18.4
4,,3029,13830,18.4
3,750000,3166,768,12.3
4,,3079,5549,7.8
4,,3079,1554,7.8
4,650000,3047,851,14
2,390000,3047,851,14
3,506000,3038,3656,15.5
3,810000,3038,3656,15.5
3,735000,3038,3656,15.5
3,595000,3038,3656,15.5
3,605000,3038,3656,15.5
2,520000,3033,5629,11.7
4,640000,3038,570,15.5
3,967000,3031,5263,3.4
2,850000,3031,5263,3.4
1,500000,3031,5263,3.4
2,535000,3031,5263,3.4
2,758000,3101,10331,5.4
3,,3101,10331,5.4
3,975000,3101,10331,5.4
2,862000,3102,2671,7.3
4,965000,3173,8459,25.2
4,761000,3173,8459,25.2
3,520000,3021,2878,14
3,530000,3021,2878,14
2,,3083,1414,12.1
3,1020000,3012,1808,6.4
1,210000,3012,1808,6.4
4,750000,3075,8279,16.3
3,635000,3075,8279,16.3
2,410000,3075,8279,16.3
5,675000,3075,8279,16.3
5,880000,3093,1624,14.6
3,597500,3975,2322,33.8
3,640000,3085,4168,12.7
1,280000,3012,3873,6.4
2,520000,3012,3873,6.4
3,895000,3012,3873,6.4
3,660000,3012,3873,6.4
3,,3145,8801,8.4
3,2110000,3145,8801,8.4
4,,3145,8801,8.4
3,1050000,3032,4918,4.3
2,,3032,4918,4.3
2,,3032,4918,4.3
4,320000,3337,3600,31.7
3,480000,3337,3600,31.7
3,365000,3338,4718,29.8
3,,3337,6065,31.7
2,705000,3194,6162,20
4,670000,3754,5812,25.9
4,,3754,5812,25.9
4,520500,3754,5812,25.9
4,,3064,1158,20.6
2,460000,3082,10529,17.9
3,610000,3082,10529,17.9
3,950000,3132,6871,17.2
3,715000,3132,6871,17.2
3,970000,3132,6871,17.2
5,2200000,3127,2079,10.2
4,2320000,3127,2079,10.2
4,2752000,3127,2079,10.2
3,655000,3094,3891,16.2
3,960000,3094,3891,16.2
